mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
1,6958908.2318196958,40905.4407838173,120.0000000000,0.9895561291,0.9900800000,0.0000098156,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0498822848,0.9005961008,0.0495216144,0.9999999956,0.9999999956,0
1,6958885.2814315148,40883.9214405142,125.0000000000,0.9854324423,0.9907300000,0.0000880239,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0275690955,0.5052601853,0.4671707192,0.9999999603,0.9999999603,0
1,6958855.9659106964,40856.9621256403,130.0000000000,0.9890893646,0.9895800000,0.0001548738,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0088046331,0.1739718675,0.8172234994,1.0000000000,1.0000000000,0
1,6958828.8225402944,40831.5876440631,135.0000000000,0.9878055460,0.9898700000,0.0001772871,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0041953287,0.0539883323,0.9418163389,0.9999999179,0.9999999179,0
1,6958806.8890890544,40805.3538843696,140.0000000000,0.9864349331,0.9897100000,0.0001966874,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0035897860,0.0616886367,0.9347215773,0.9999999714,0.9999999714,0
1,6958782.0573426280,40783.9613631122,145.0000000000,0.9884196062,0.9898900000,0.0001833906,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0043553870,0.0566241998,0.9390204132,0.9999999726,0.9999999726,0
1,6958760.6685914118,40761.2523846395,150.0000000000,0.9851223444,0.9902900000,0.0001818765,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0031442948,0.0499345942,0.9469211110,0.9999998923,0.9999998923,0
1,6958736.7131998744,40738.0290115372,155.0000000000,0.9895910472,0.9901700000,0.0001106348,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0261597179,0.4705611385,0.5032791436,0.9999999714,0.9999999714,0
1,6958710.4687383249,40707.0048571021,160.0000000000,0.9870721938,0.9902300000,0.0001001571,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0248966686,0.4704138968,0.5046894346,0.9999999857,0.9999999857,0
1,6958686.1948247971,40679.5347187581,165.0000000000,0.9898068056,0.9899100000,0.0000101509,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0506862802,0.8997569490,0.0495567707,0.9999999985,0.9999999985,0
1,6958655.5610343274,40658.9693449064,170.0000000000,0.9888651796,0.9900600000,0.0001010801,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0232894690,0.4517817594,0.5249287717,0.9999999707,0.9999999707,0
1,6958634.0452936543,40636.9488341243,175.0000000000,0.9671092037,0.9906000000,0.0001003509,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0247990767,0.4677692508,0.5074316725,0.9999980444,0.9999980444,0
1,6958608.2377566351,40610.7811352607,180.0000000000,0.9790159790,0.9900500000,0.0001397499,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0162720839,0.3088028121,0.6749251040,0.9999999358,0.9999999358,0
1,6958582.6745574279,40583.4156273384,185.0000000000,0.9825276990,0.9897600000,0.0001410065,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0216110286,0.3024772622,0.6759117092,0.9999999590,0.9999999590,0
1,6958555.3821150027,40557.0164704923,190.0000000000,0.9863257069,0.9895700000,0.0001384385,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0160627895,0.2961014682,0.6878357423,0.9999999002,0.9999999002,0
1,6958529.8220071299,40533.1670168751,195.0000000000,0.9870408255,0.9896700000,0.0001341014,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0179402511,0.3021979744,0.6798617745,1.0000000000,1.0000000000,0
1,6958509.0278605642,40509.3059571985,200.0000000000,0.9865989786,0.9902500000,0.0001350391,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0180175528,0.3057812387,0.6762012085,0.9999999174,0.9999999174,0
1,6958484.8224907825,40479.5185091043,205.0000000000,0.9864228383,0.9899600000,0.0001392581,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0175489005,0.3051470205,0.6773040789,1.0000000000,1.0000000000,0
1,6958465.0817804653,40460.2436958734,210.0000000000,0.9865306813,0.9898700000,0.0001491900,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0115892560,0.1838637271,0.8045470169,0.9999999508,0.9999999137,0
1,6958434.9023436252,40432.8858521592,215.0000000000,0.9881933958,0.9901800000,0.0001646363,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0092369436,0.1828353959,0.8079276605,0.9999999560,0.9999999367,0
1,6958406.3465619059,40411.4148835369,220.0000000000,0.9889962119,0.9903700000,0.0001632716,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0106877643,0.1820644683,0.8072477674,0.9999999510,0.9999999510,0
1,6958380.3301908690,40388.2482415092,225.0000000000,0.9885242538,0.9906000000,0.0001632930,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0125586126,0.1878123129,0.7996290745,1.0000000000,1.0000000000,0
1,6958353.3197811991,40361.2989873439,230.0000000000,0.9869051803,0.9905200000,0.0001342950,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0161293259,0.2975472719,0.6863234022,0.9999999796,0.9999999796,0
1,6958332.0136099318,40337.5227197875,235.0000000000,0.9865136617,0.9898900000,0.0001390356,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0165630399,0.3076405844,0.6757963757,1.0000000000,1.0000000000,0
1,6958309.7302204901,40311.6949386187,240.0000000000,0.9886166703,0.9896700000,0.0001930003,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0007620184,0.0110178870,0.9882200946,1.0000000000,1.0000000000,0
1,6958287.3425149973,40290.4014113746,245.0000000000,0.9887451811,0.9896400000,0.0002013798,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0009609665,0.0079634692,0.9910755643,0.9999999683,0.9999999683,0
1,6958261.3684704881,40258.5466083229,250.0000000000,0.9887154166,0.9901700000,0.0001972697,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0003095240,0.0079217274,0.9917687486,0.9999999499,0.9999999499,0
1,6958238.0991632203,40234.7719122832,255.0000000000,0.9885923046,0.9897800000,0.0002013102,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0006167876,0.0111596905,0.9882235219,0.9999999696,0.9999999696,0
1,6958212.8194613680,40213.0509295304,260.0000000000,0.9879711843,0.9893800000,0.0001596762,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0108634444,0.1826082064,0.8065283492,0.9999999496,0.9999999496,0
1,6958186.5367138041,40189.0047576877,265.0000000000,0.9886422501,0.9904700000,0.0001491147,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0084324987,0.1800817879,0.8114857133,0.9999999686,0.9999999686,0
1,6958163.8402541010,40160.5902156462,270.0000000000,0.9869252467,0.9901200000,0.0002030930,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0004153094,0.0077260325,0.9918586581,0.9999998882,0.9999998882,0
1,6958140.0720411995,40139.6160669941,275.0000000000,0.9888467308,0.9901700000,0.0001546631,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0109406502,0.1880120723,0.8010472775,0.9999999516,0.9999999516,0
1,6958114.0387023203,40118.6891076843,280.0000000000,0.9874772730,0.9897600000,0.0001506463,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0112673866,0.1783606146,0.8103719988,0.9999999754,0.9999999563,0
1,6958090.7145257052,40092.7438338188,285.0000000000,0.9869528185,0.9900600000,0.0001385281,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0159509680,0.3000967171,0.6839523149,1.0000000000,1.0000000000,0
1,6958066.3886845130,40065.8028745741,290.0000000000,0.9881418340,0.9900300000,0.0001570007,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0101751626,0.1859009567,0.8039238807,0.9999999253,0.9999999253,0
1,6958040.7032497106,40038.1835905038,295.0000000000,0.9883424891,0.9899300000,0.0002024822,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000597434,0.0090674246,0.9908728320,1.0000000000,1.0000000000,0
