mmsi,time,traj_id,x,y,prob
1,55.0000000000,0,6958873.8200714150,40873.8201237676,1.0000000000
1,55.0000000000,0,6958873.6751956996,40873.6752478880,1.0000000000
1,55.0000000000,0,6958873.6309281196,40873.6309802583,1.0000000000
1,55.0000000000,0,6958873.6174019147,40873.6174540382,1.0000000000
1,55.0000000000,0,6958873.6132689072,40873.6133210265,1.0000000000
1,55.0000000000,0,6958873.6120060440,40873.6120581618,1.0000000000
1,55.0000000000,0,6958873.6116201691,40873.6116722865,1.0000000000
1,55.0000000000,0,6958873.6115022628,40873.6115543801,1.0000000000
1,55.0000000000,0,6958873.6114662355,40873.6115183532,1.0000000000
1,55.0000000000,0,6958873.6114552272,40873.6115073449,1.0000000000
1,55.0000000000,0,6958873.6114518633,40873.6115039813,1.0000000000
1,55.0000000000,0,6958873.6114508351,40873.6115029535,1.0000000000
1,55.0000000000,0,6958873.6114505213,40873.6115026395,1.0000000000
1,55.0000000000,0,6958873.6114504253,40873.6115025435,1.0000000000
1,55.0000000000,0,6958873.6114503965,40873.6115025142,1.0000000000
1,55.0000000000,0,6958873.6114503872,40873.6115025053,1.0000000000
1,55.0000000000,0,6958873.6114503844,40873.6115025025,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025017,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025014,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025014,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,55.0000000000,0,6958873.6114503834,40873.6115025013,1.0000000000
1,60.0000000000,0,6959203.0960249174,41204.3667894691,1.0000000000
1,60.0000000000,0,6959198.2529471628,41199.3005485675,1.0000000000
1,60.0000000000,0,6959193.3610704374,41194.2814110807,1.0000000000
1,60.0000000000,0,6959188.4603830017,41189.2708760134,1.0000000000
1,60.0000000000,0,6959183.5530406088,41184.2668586632,1.0000000000
1,60.0000000000,0,6959178.6398791848,41179.2685545679,1.0000000000
1,60.0000000000,0,6959173.7215992613,41174.2752869401,1.0000000000
1,60.0000000000,0,6959168.7988155466,41169.2864594725,1.0000000000
1,60.0000000000,0,6959163.8720684806,41164.3015459973,1.0000000000
1,60.0000000000,0,6959158.9418333294,41159.3200823209,1.0000000000
1,60.0000000000,0,6959154.0085281134,41154.3416590114,1.0000000000
1,60.0000000000,0,6959149.0725205578,41149.3659150052,1.0000000000
1,60.0000000000,0,6959144.1341341874,41144.3925319450,1.0000000000
1,60.0000000000,0,6959139.1936536739,41139.4212291674,1.0000000000
1,60.0000000000,0,6959134.2513295282,41134.4517592714,1.0000000000
1,60.0000000000,0,6959129.3073822204,41129.4839041989,1.0000000000
1,60.0000000000,0,6959124.3620057972,41124.5174717731,1.0000000000
1,60.0000000000,0,6959119.4153710641,41119.5522926404,1.0000000000
1,60.0000000000,0,6959114.4676283756,41114.5882175709,1.0000000000
1,60.0000000000,0,6959109.5189100951,41109.6251150748,1.0000000000
1,60.0000000000,0,6959104.5693327514,41104.6628693008,1.0000000000
1,60.0000000000,0,6959099.6189989373,41099.7013781804,1.0000000000
1,60.0000000000,0,6959094.6679989826,41094.7405517923,1.0000000000
1,60.0000000000,0,6959089.7164124195,41089.7803109197,1.0000000000
1,60.0000000000,0,6959084.7643092778,41084.8205857784,1.0000000000
1,60.0000000000,0,6959079.8117512204,41079.8613148951,1.0000000000
1,60.0000000000,0,6959074.8587925453,41074.9024441192,1.0000000000
1,60.0000000000,0,6959069.9054810666,41069.9439257517,1.0000000000
1,60.0000000000,0,6959064.9518588884,41064.9857177771,1.0000000000
1,60.0000000000,0,6959059.9979630876,41060.0277831869,1.0000000000
1,60.0000000000,0,6959055.0438263156,41055.0700893837,1.0000000000
1,60.0000000000,0,6959050.0894773249,41050.1126076554,1.0000000000
1,60.0000000000,0,6959045.1349414382,41045.1553127125,1.0000000000
1,60.0000000000,0,6959040.1802409543,41040.1981822807,1.0000000000
1,60.0000000000,0,6959035.2253955109,41035.2411967411,1.0000000000
1,60.0000000000,0,6959030.2704224037,41030.2843388140,1.0000000000
1,60.0000000000,0,6959025.3153368626,41025.3275932802,1.0000000000
1,60.0000000000,0,6959020.3601523014,41020.3709467352,1.0000000000
1,60.0000000000,0,6959015.4048805330,41015.4143873730,1.0000000000
1,60.0000000000,0,6959010.4495319612,41010.4579047954,1.0000000000
1,60.0000000000,0,6959005.4941157484,41005.5014898442,1.0000000000
1,60.0000000000,0,6959000.5386399645,41000.5451344537,1.0000000000
1,60.0000000000,0,6958995.5831117146,40995.5888315197,1.0000000000
1,60.0000000000,0,6958990.6275372580,40990.6325747856,1.0000000000
1,60.0000000000,0,6958985.6719221072,40985.6763587410,1.0000000000
1,60.0000000000,0,6958980.7162711164,40980.7201785324,1.0000000000
1,60.0000000000,0,6958975.7605885603,40975.7640298856,1.0000000000
1,60.0000000000,0,6958970.8048782041,40970.8079090359,1.0000000000
1,60.0000000000,0,6958965.8491433654,40965.8518126677,1.0000000000
1,60.0000000000,0,6958960.8933869638,40960.8957378609,1.0000000000
1,60.0000000000,0,6958955.9376115715,40955.9396820436,1.0000000000
1,60.0000000000,0,6958950.9818194536,40950.9836429508,1.0000000000
1,60.0000000000,0,6958946.0260126051,40946.0276185877,1.0000000000
1,60.0000000000,0,6958941.0701927831,40941.0716071972,1.0000000000
1,60.0000000000,0,6958936.1143615358,40936.1156072319,1.0000000000
1,60.0000000000,0,6958931.1585202254,40931.1596173291,1.0000000000
1,60.0000000000,0,6958926.2026700536,40926.2036362884,1.0000000000
1,60.0000000000,0,6958921.2468120763,40921.2476630527,1.0000000000
1,60.0000000000,0,6958916.2909472249,40916.2916966912,1.0000000000
1,60.0000000000,0,6958911.3350763191,40911.3357363838,1.0000000000
1,60.0000000000,0,6958906.3792000813,40906.3797814084,1.0000000000
1,60.0000000000,0,6958901.4233191470,40901.4238311290,1.0000000000
1,60.0000000000,0,6958896.4674340766,40896.4678849855,1.0000000000
1,60.0000000000,0,6958891.5115453638,40891.5119424844,1.0000000000
1,60.0000000000,0,6958886.5556534436,40886.5560031913,1.0000000000
1,60.0000000000,0,6958881.5997586977,40881.6000667236,1.0000000000
1,60.0000000000,0,6958876.6438614633,40876.6441327442,1.0000000000
1,60.0000000000,0,6958875.1295588613,40875.1298202535,1.0000000000
1,60.0000000000,0,6958874.6668551080,40874.6671138393,1.0000000000
1,60.0000000000,0,6958874.5254733944,40874.5257313353,1.0000000000
1,60.0000000000,0,6958874.4822734250,40874.4825311268,1.0000000000
1,60.0000000000,0,6958874.4690734344,40874.4693310632,1.0000000000
1,60.0000000000,0,6958874.4650401035,40874.4652977104,1.0000000000
1,60.0000000000,0,6958874.4638076974,40874.4640652971,1.0000000000
1,60.0000000000,0,6958874.4634311283,40874.4636887263,1.0000000000
1,60.0000000000,0,6958874.4633160653,40874.4635736631,1.0000000000
1,60.0000000000,0,6958874.4632809069,40874.4635385048,1.0000000000
1,60.0000000000,0,6958874.4632701641,40874.4635277620,1.0000000000
1,60.0000000000,0,6958874.4632668812,40874.4635244795,1.0000000000
1,60.0000000000,0,6958874.4632658781,40874.4635234765,1.0000000000
1,60.0000000000,0,6958874.4632655717,40874.4635231701,1.0000000000
1,60.0000000000,0,6958874.4632654777,40874.4635230764,1.0000000000
1,60.0000000000,0,6958874.4632654488,40874.4635230478,1.0000000000
1,60.0000000000,0,6958874.4632654404,40874.4635230391,1.0000000000
1,60.0000000000,0,6958874.4632654376,40874.4635230364,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230356,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230353,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230353,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
